Day: 2016-07-10, Activity count: 0
Day: 2016-07-11, Activity count: 0
Day: 2016-07-12, Activity count: 0
Day: 2016-07-13, Activity count: 0
Day: 2016-07-14, Activity count: 0
Day: 2016-07-15, Activity count: 0
Day: 2016-07-16, Activity count: 0
Day: 2016-07-17, Activity count: 0
Day: 2016-07-18, Activity count: 0
Day: 2016-07-19, Activity count: 0
Day: 2016-07-20, Activity count: 0
Day: 2016-07-21, Activity count: 0
Day: 2016-07-22, Activity count: 0
Day: 2016-07-23, Activity count: 0
Day: 2016-07-24, Activity count: 0
Day: 2016-07-25, Activity count: 0
Day: 2016-07-26, Activity count: 0
Day: 2016-07-27, Activity count: 0
Day: 2016-07-28, Activity count: 0
Day: 2016-07-29, Activity count: 0
Day: 2016-07-30, Activity count: 0
Day: 2016-07-31, Activity count: 0
Day: 2016-08-01, Activity count: 0
Day: 2016-08-02, Activity count: 0
Day: 2016-08-03, Activity count: 0
Day: 2016-08-04, Activity count: 0
Day: 2016-08-05, Activity count: 0
Day: 2016-08-06, Activity count: 0
Day: 2016-08-07, Activity count: 0
Day: 2016-08-08, Activity count: 0
Day: 2016-08-09, Activity count: 0
Day: 2016-08-10, Activity count: 0
Day: 2016-08-11, Activity count: 0
Day: 2016-08-12, Activity count: 0
Day: 2016-08-13, Activity count: 0
Day: 2016-08-14, Activity count: 0
Day: 2016-08-15, Activity count: 0
Day: 2016-08-16, Activity count: 0
Day: 2016-08-17, Activity count: 0
Day: 2016-08-18, Activity count: 0
Day: 2016-08-19, Activity count: 0
Day: 2016-08-20, Activity count: 0
Day: 2016-08-21, Activity count: 0
Day: 2016-08-22, Activity count: 0
Day: 2016-08-23, Activity count: 0
Day: 2016-08-24, Activity count: 0
Day: 2016-08-25, Activity count: 0
Day: 2016-08-26, Activity count: 0
Day: 2016-08-27, Activity count: 0
Day: 2016-08-28, Activity count: 0
Day: 2016-08-29, Activity count: 0
Day: 2016-08-30, Activity count: 0
Day: 2016-08-31, Activity count: 0
Day: 2016-09-01, Activity count: 0
Day: 2016-09-02, Activity count: 0
Day: 2016-09-03, Activity count: 0
Day: 2016-09-04, Activity count: 0
Day: 2016-09-05, Activity count: 0
Day: 2016-09-06, Activity count: 0
Day: 2016-09-07, Activity count: 0
Day: 2016-09-08, Activity count: 0
Day: 2016-09-09, Activity count: 0
Day: 2016-09-10, Activity count: 0
Day: 2016-09-11, Activity count: 0
Day: 2016-09-12, Activity count: 0
Day: 2016-09-13, Activity count: 0
Day: 2016-09-14, Activity count: 0
Day: 2016-09-15, Activity count: 0
Day: 2016-09-16, Activity count: 0
Day: 2016-09-17, Activity count: 0
Day: 2016-09-18, Activity count: 0
Day: 2016-09-19, Activity count: 0
Day: 2016-09-20, Activity count: 0
Day: 2016-09-21, Activity count: 1
Day: 2016-09-22, Activity count: 1
Day: 2016-09-23, Activity count: 0
Day: 2016-09-24, Activity count: 0
Day: 2016-09-25, Activity count: 0
Day: 2016-09-26, Activity count: 0
Day: 2016-09-27, Activity count: 0
Day: 2016-09-28, Activity count: 0
Day: 2016-09-29, Activity count: 0
Day: 2016-09-30, Activity count: 0
Day: 2016-10-01, Activity count: 0
Day: 2016-10-02, Activity count: 0
Day: 2016-10-03, Activity count: 5
Day: 2016-10-04, Activity count: 0
Day: 2016-10-05, Activity count: 0
Day: 2016-10-06, Activity count: 0
Day: 2016-10-07, Activity count: 1
Day: 2016-10-08, Activity count: 0
Day: 2016-10-09, Activity count: 0
Day: 2016-10-10, Activity count: 0
Day: 2016-10-11, Activity count: 0
Day: 2016-10-12, Activity count: 0
Day: 2016-10-13, Activity count: 0
Day: 2016-10-14, Activity count: 0
Day: 2016-10-15, Activity count: 0
Day: 2016-10-16, Activity count: 0
Day: 2016-10-17, Activity count: 0
Day: 2016-10-18, Activity count: 0
Day: 2016-10-19, Activity count: 0
Day: 2016-10-20, Activity count: 0
Day: 2016-10-21, Activity count: 0
Day: 2016-10-22, Activity count: 0
Day: 2016-10-23, Activity count: 0
Day: 2016-10-24, Activity count: 0
Day: 2016-10-25, Activity count: 0
Day: 2016-10-26, Activity count: 0
Day: 2016-10-27, Activity count: 0
Day: 2016-10-28, Activity count: 14
Day: 2016-10-29, Activity count: 0
Day: 2016-10-30, Activity count: 0
Day: 2016-10-31, Activity count: 0
Day: 2016-11-01, Activity count: 0
Day: 2016-11-02, Activity count: 0
Day: 2016-11-03, Activity count: 0
Day: 2016-11-04, Activity count: 0
Day: 2016-11-05, Activity count: 0
Day: 2016-11-06, Activity count: 0
Day: 2016-11-07, Activity count: 0
Day: 2016-11-08, Activity count: 0
Day: 2016-11-09, Activity count: 0
Day: 2016-11-10, Activity count: 0
Day: 2016-11-11, Activity count: 0
Day: 2016-11-12, Activity count: 0
Day: 2016-11-13, Activity count: 0
Day: 2016-11-14, Activity count: 0
Day: 2016-11-15, Activity count: 0
Day: 2016-11-16, Activity count: 0
Day: 2016-11-17, Activity count: 0
Day: 2016-11-18, Activity count: 2
Day: 2016-11-19, Activity count: 3
Day: 2016-11-20, Activity count: 6
Day: 2016-11-21, Activity count: 13
Day: 2016-11-22, Activity count: 25
Day: 2016-11-23, Activity count: 4
Day: 2016-11-24, Activity count: 0
Day: 2016-11-25, Activity count: 5
Day: 2016-11-26, Activity count: 0
Day: 2016-11-27, Activity count: 2
Day: 2016-11-28, Activity count: 0
Day: 2016-11-29, Activity count: 3
Day: 2016-11-30, Activity count: 20
Day: 2016-12-01, Activity count: 2
Day: 2016-12-02, Activity count: 0
Day: 2016-12-03, Activity count: 0
Day: 2016-12-04, Activity count: 0
Day: 2016-12-05, Activity count: 0
Day: 2016-12-06, Activity count: 1
Day: 2016-12-07, Activity count: 2
Day: 2016-12-08, Activity count: 0
Day: 2016-12-09, Activity count: 0
Day: 2016-12-10, Activity count: 0
Day: 2016-12-11, Activity count: 0
Day: 2016-12-12, Activity count: 0
Day: 2016-12-13, Activity count: 0
Day: 2016-12-14, Activity count: 0
Day: 2016-12-15, Activity count: 0
Day: 2016-12-16, Activity count: 0
Day: 2016-12-17, Activity count: 0
Day: 2016-12-18, Activity count: 0
Day: 2016-12-19, Activity count: 0
Day: 2016-12-20, Activity count: 0
Day: 2016-12-21, Activity count: 0
Day: 2016-12-22, Activity count: 0
Day: 2016-12-23, Activity count: 0
Day: 2016-12-24, Activity count: 0
Day: 2016-12-25, Activity count: 0
Day: 2016-12-26, Activity count: 0
Day: 2016-12-27, Activity count: 0
Day: 2016-12-28, Activity count: 0
Day: 2016-12-29, Activity count: 0
Day: 2016-12-30, Activity count: 0
Day: 2016-12-31, Activity count: 0
Day: 2017-01-01, Activity count: 0
Day: 2017-01-02, Activity count: 0
Day: 2017-01-03, Activity count: 0
Day: 2017-01-04, Activity count: 0
Day: 2017-01-05, Activity count: 0
Day: 2017-01-06, Activity count: 0
Day: 2017-01-07, Activity count: 0
Day: 2017-01-08, Activity count: 0
Day: 2017-01-09, Activity count: 0
Day: 2017-01-10, Activity count: 0
Day: 2017-01-11, Activity count: 0
Day: 2017-01-12, Activity count: 0
Day: 2017-01-13, Activity count: 0
Day: 2017-01-14, Activity count: 0
Day: 2017-01-15, Activity count: 0
Day: 2017-01-16, Activity count: 0
Day: 2017-01-17, Activity count: 0
Day: 2017-01-18, Activity count: 0
Day: 2017-01-19, Activity count: 0
Day: 2017-01-20, Activity count: 0
Day: 2017-01-21, Activity count: 6
Day: 2017-01-22, Activity count: 0
Day: 2017-01-23, Activity count: 0
Day: 2017-01-24, Activity count: 0
Day: 2017-01-25, Activity count: 0
Day: 2017-01-26, Activity count: 0
Day: 2017-01-27, Activity count: 0
Day: 2017-01-28, Activity count: 0
Day: 2017-01-29, Activity count: 0
Day: 2017-01-30, Activity count: 0
Day: 2017-01-31, Activity count: 0
Day: 2017-02-01, Activity count: 0
Day: 2017-02-02, Activity count: 0
Day: 2017-02-03, Activity count: 0
Day: 2017-02-04, Activity count: 0
Day: 2017-02-05, Activity count: 0
Day: 2017-02-06, Activity count: 0
Day: 2017-02-07, Activity count: 0
Day: 2017-02-08, Activity count: 0
Day: 2017-02-09, Activity count: 0
Day: 2017-02-10, Activity count: 0
Day: 2017-02-11, Activity count: 0
Day: 2017-02-12, Activity count: 0
Day: 2017-02-13, Activity count: 0
Day: 2017-02-14, Activity count: 0
Day: 2017-02-15, Activity count: 0
Day: 2017-02-16, Activity count: 0
Day: 2017-02-17, Activity count: 0
Day: 2017-02-18, Activity count: 0
Day: 2017-02-19, Activity count: 0
Day: 2017-02-20, Activity count: 0
Day: 2017-02-21, Activity count: 0
Day: 2017-02-22, Activity count: 0
